index,vbm
413,-6.34500594475798
414,-5.40373710061767
415,-6.48981783050209
416,-6.16996217316265
417,-6.08558089360132
418,-6.44372068916813
419,-5.39779895848663
420,-6.25640749082594
421,-6.60003687166331
422,-6.08909907258676
423,-3.63596599163365
424,-5.79155862083589
425,-3.72341141959018
426,-5.01869122404824
427,-6.5352081533463
428,-5.46304199493171
429,-4.99865216175744
430,-4.32469071244323
431,-5.8820726835833
432,-6.45931909822568
433,-7.50247034886049
434,-3.56000359559236
435,-3.98968481251265
436,-4.6641718333014
437,-8.41650950979138
438,-7.30871775005663
439,-6.80463466197118
440,-5.5641674324392
441,-5.58049513177764
442,-5.05128074585829
443,-3.57429989061875
444,-7.51458204793044
445,-4.25511620906554
446,-2.69052469201755
447,-6.02536091303764
448,-9.32615612840515
449,-8.58811686510173
450,-9.09245640991873
451,-6.15705576470571
452,-6.22619617098695
453,-5.18034319910973
454,-9.78938861093605
455,-8.877378155471
456,-7.20133035594923
457,-4.31802539073779
458,-3.34876511773893
459,-9.98537236408396
460,-9.37071193385503
461,-8.74148319397653
462,-9.05068544651671
463,-6.80943794292257
464,-6.92859150960825
465,-6.29862792065963
466,-6.12760488856182
467,-5.81650329796456
468,-5.46415867312914
469,-4.91090986142118
470,-6.04393344912377
471,-7.68046436563788
472,-7.76471258618479
473,-7.67520600110934
474,-8.55255800624498
475,-8.80367706232474
476,-8.67273683730214
477,-5.45076691092165
478,-8.04599340058474
479,-7.93676095297707
480,-4.94902896141223
481,-3.55624550866063
482,-4.51300846359954
483,-4.31317505562003
484,-4.86316751360242
485,-4.47338900811224
486,-7.84915643501044
487,-4.33201597897036
488,-7.02672435704442
489,-6.74078013004359
490,-7.17659516231966
491,-7.79625198917246
492,-6.19795814950897
493,-8.97429840358474
494,-5.19145137638533
495,-4.75136055813241
496,-6.80616810854534
497,-6.1232298274968
498,-5.17731063933711
499,-5.55601147729615
500,-6.3569939087481
501,-6.53121831125587
502,-6.0972244822024
503,-6.20844349793535
504,-7.22061891116461
505,-6.63746570467132
506,-5.99604530981009
507,-9.83793456629157
508,-5.30829558786063
509,-6.22829270157469
510,-5.33546775587616
511,-5.65997942767583
512,-5.50267880810963
513,-3.2296786447902
514,-7.2968747373401
515,-7.08989680914553
516,-9.00763596538303
517,-5.09064180885054
518,-7.79994351482789
519,-7.36163574506954
520,-7.80882112827215
521,-8.88502363203026
522,-8.94226338113257
523,-8.62373991999159
524,-10.9717312176235
525,-5.64529740755335
526,-5.91299950535653
527,-12.5726588624843
528,-3.73618010442174
529,-5.94459566598191
530,-6.32252962616297
531,-6.29583320560539
532,-3.78844044521865
533,-6.24919728253434
534,-6.25326468392451
535,-5.24166855357584
536,-6.49103543650361
537,-6.06100575119941
538,-4.98939522819066
539,-5.17967407905644
540,-5.80460041048534
541,-5.0792827715831
542,-8.59560751244732
543,-5.98457252697819
544,-3.99711470890005
545,-6.04085608284657
546,-6.01958626300324
547,-7.56775161372321
548,-5.27971619365109
549,-5.82580664388053
550,-4.02960852372749
551,-4.2220896385948
552,-3.64000457061575
553,-6.44574295633992
554,-5.15419630435594
555,-6.98658239142436
556,-4.87624575497736
557,-7.58039382421359
558,-6.36430747290756
559,-6.6870198324915
560,-6.29523735471396
561,-6.42350340012827
562,-5.99421754989779
563,-5.94332835132816
564,-6.63287480256798
565,-7.26594175343255
566,-7.13651918649596
567,-6.69751431122981
568,-5.09131515486666
569,-5.05728436840872
570,-4.79629629218467
571,-5.61737952083643
572,-3.40287671822155
573,-6.93310431781168
574,-6.76885446181022
575,-6.82950426642955
576,-8.26560374097173
577,-8.28891058036255
578,-5.9400596058379
579,-5.54016052777029
580,-5.97681039242526
581,-5.53014359354905
582,-5.13029653158403
583,-5.85452263584994
584,-6.86164159594842
585,-6.84280925692061
586,-6.25441637538344
587,-6.87854430572727
588,-8.88979214648074
589,-2.27777657056962
590,-8.39689457692154
591,-8.82381362167247
592,-3.96543750051781
593,-3.71500148102566
594,-3.69394051668163
595,-3.48834574654256
596,-9.0273533797049
597,-6.76152204250134
598,-6.4214074722792
599,-5.55139196712548
600,-5.13001155747228
601,-4.92250952260877
602,-5.46428992200851
603,-3.4137472050511
604,-5.80584613522633
605,-3.5253182856974
606,-5.15739825628813
607,-5.95596506747417
608,-7.76834513587763
609,-7.47814623732768
610,-8.93252713262621
611,-6.59636593945338
612,-5.7567876126224
613,-8.20169640536473
614,-7.52278312762988
615,-7.28476861757559
616,-8.50505315944558
617,-8.45674306973752
618,-4.66309998148206
619,-3.57206783779907
620,-7.29123688639714
621,-9.29945752462046
622,-6.23295844324404
623,-6.00615478468034
624,-6.95443423036422
625,-7.28695384687457
626,-5.30101662115898
627,-5.81361833503705
628,-5.53234128536191
629,-6.14685590163268
630,-6.34817618784865
631,-8.62283717050478
632,-6.52701758522853
633,-5.85519287764885
634,-5.54020443972619
635,-5.61711861892677
636,-8.53248499512088
637,-8.17732404129842
638,-8.59823075189657
639,-4.73664945107918
640,-5.11863769440081
641,-6.21518281785831
642,-4.09970982696354
643,-5.52720530716375
644,-4.60212239990716
645,-6.12861677678444
646,-6.92049306811584
647,-5.36933523104382
648,-5.05963539488252
649,-7.09671736001608
650,-7.27205985428614
651,-7.73911689885697
